task_id,work_package,title,depends_on,target_scope,implementation,acceptance_ids,failure_return,status,start_after,early_delivery
T01,WP01,冻结现场与逐文件处置,—,inventory/*;AGENTS.md;docs/planning更正,读取B0/K0、本地安装和未提交变更；生成全Git路径处置表；记录事故完成叙述更正；建立新包反向import禁区；仅建立处置清单/引用基线，不要求此时旧引用归零,AC-L07,本地不可解析基线则只修映射，不reset工作树、不整包合并K0,proposed_not_started,—,固定来源/清单，当前旧代码和用户资料不删
T02,WP01,五对象与最小原子存储,T01,models.py;store.py;resources/contracts/*,实现五schema/跨引用和不可变对象、current原子提交、基本恢复；增加Document.change幂等记录，不上数据库平台；明确design_context与nullable原始来源hash、asset Ref；基础call_allowance事务字段一起落地,"AC-S01,AC-S02",对象格式/事务未成立先修，不接真实生图或UI写入,proposed_not_started,T01边界/目标身份确定,T02.min：五对象最小合法子集、不可变blob与原子指针、基础幂等/取消保护
T03,WP01,完整材料与Page接收,T02,sources.py;content.py,支持来源表、原文/图表定位、v2可见原子、计算/设计关系；整稿预校验，未知字段明确返回；先TXT/JSON与已知Page垂直切片，随后补其余格式；稳定atom与旧Pointer规范化；未知原hash不拦媒体读取,"AC-C01,AC-C03,AC-C08,AC-C11",丢字段回内容映射，缺格式工具明确待处理，不空成功,proposed_not_started,T02.min,T03.min：TXT/JSON/完整Page，design_context规范化；其余资料格式随后
T04,WP01,宿主默认成稿和主入口,T03,tasks.py;service.py;cli.py;skills/deck-master/*,实现create/continue/task accept骨架；D1/D2成对方法写进实际Host输入；不再调用规则Planner和循环claim；固定临时结果信封与往返；首次正文后主Skill自动view --open；不需用户额外执行,"AC-C02,AC-C04,AC-C06,AC-C07,AC-S14",正文无机制回方法，不以schema加字段求专业,proposed_not_started,"T02.min,T03.min",T04.min：create/accept/continue及D1/D2正常Host输入，信封与稳定ID
T05,WP01,最小真实视图与隔离包,"T02,T04",view.py;web.py只读部分;pyproject.toml;setup.py;tools/build_hook.py;MANIFEST.in,最小页面列表/正文/文件链接直接读Document；隔离安装验证方法/schema资源，尚不激活用户当前版本；先同项目服务复用/实际URL/四视图槽位及失败稿可看，随后隔离资源验证,"AC-U01,AC-I01,AC-I06",依赖旧preview则修view；源码偷读资源则修打包,proposed_not_started,"T02.min,T04.min",T05.min：只读四视图/实际页集合/自动view；资源隔离检查随后补全
T06,WP02,完整prompt与真实工具任务,"T03,T04",production.py;references/blueprint-svg.md,全字段投影；Host真实图像输入/输出；缺工具待执行，不降级；实际prompt来源如实；使用Document解析的画布/字体/style_ref/允许资产；首次真实调用前接T13.min额度,"AC-B01,AC-B02,AC-B09,AC-R08",投影漏项直接修投影，不让后续SVG补假内容,proposed_not_started,"T03.min,T04.min,T13.min",T06.min：当前事故页完整prompt与允许资产真实调用
T07,WP02,原图保持与文案往返,"T06,T02",production.py;content.py;review.py输入部分,记录实际原图区域期待，编辑生成文案为新Page；保留原生成版；禁止已知下游回灌；结构边不重复印字,"AC-B03,AC-B05,AC-B08,AC-B10",内容不成立回T04；原图结构不足重新设计，不能更换验收答案,proposed_not_started,"T06.min,T02.min",T07.min：真实原图、最终正文与独立期待
T08,WP02,纯SVG接口与派生IR,"T01,T02",compiler/api.py;compiler/ir.py;compiler/svg.py,对比B0/K0提取SVG解析，建立受控子集和纯接口；Host单写SVG；禁止反向import旧engine；首版形状文字可编辑，图表/表格非Office原生数据对象；不要求Host补chart数据接口,"AC-K01,AC-K09,AC-B06",抽取牵出旧状态则切依赖，不整目录搬入,proposed_not_started,"T01边界,T02.min",T08.min：独立SVG接口与当前事故页实际子集
T09,WP02,绘制缺陷逐项修复,T08,compiler/geometry.py;paint.py;text.py;drawingml.py,修端点/圆边界/800900字重/0透明度/多行与圆角；保留实际PPT XML反例,"AC-K02,AC-K03,AC-K04,AC-K05,AC-K06,AC-K07",内核失败修对应函数，不把源图简化绕过,proposed_not_started,T08.min,T09.min：当前事故页涉及的绘制缺陷先修；不简化原图绕过
T10,WP02,真实渲染与首段完整闭环,"T05,T07,T09",compiler/render.py;readback.py;production.py,事故型三页在小UI完整显示，使用真实原图/重构/渲染；同时尽早运行P1，内容与制作证据分开；先在事故页实际子集完成min三方对照，不等所有材料格式/绘制修复；整体完成再覆盖声明子集,"AC-K08,AC-K10,AC-K11,AC-K13,AC-B04,AC-V02,AC-K14,AC-V07",分段找第一丢失点；不先增加平台和评分；P1改方法后归开发,proposed_not_started,"T05.min,T07.min,T08.min,T09.min",T10.min：真实PPT、原图/SVG/PPT实际阅图，四视图可见
T11,WP03,统一审阅解释与真返修,"T07,T10",review.py;references/review-and-repair.md,工具/Host/人类证据分级；写读export统一；空集合未知；具体像素差异复核；修复必须指新产物；fixed必须replaces旧Review、指向新产物及实际复查观察，旧失败保留；提供完整往返负例,"AC-R01,AC-R02,AC-R03,AC-R04,AC-R05,AC-R06,AC-R07,AC-R10,AC-C05,AC-B07",误报修规则与三类样例，不只调当前失败到绿,proposed_not_started,"T07.min,T10.min",统一审阅实现；此前T10实际阅图不得省略
T12,WP03,局部修改与并发恢复,"T02,T10,T11",store.py;tasks.py;service.py;production.py,读集重基、稳定页ID/增删重排、跨页事实、取消竞态、晚到保护、恢复与重定位；先单页编辑/无关页不重生，再补全并发与恢复；恢复内容不重置调用记录；样式/资产按实际依赖失效,"AC-S03,AC-S04,AC-S05,AC-S06,AC-S07,AC-S08,AC-S09,AC-S10,AC-K15,AC-S13",发现无关重生则修依赖；不清整目录或删除旧产物,proposed_not_started,"T02.min,T10.min",T12.min：一次单页修改、旧原件保留/无关页不重生；先实际阅图再补统一自动关联
T13,WP03,重试历史与真实成本,T12,tasks.py;service.py,外部调用限额与本地修复分开；无进展停止；归档不封顶、不重置历史；项目锁下分配call_allowances；begin/settle幂等，未知保留并暂停新外部调用，本地修复继续；min提前接入,"AC-S11,AC-S12",不通过新增user授权历史平台解决本地格式错误,proposed_not_started,"T02.min,T04.min",T13.min：首次外部调用前的项目额度事务/begin/settle；随后全并发未知恢复测试
T14,WP03,完整四视图工作台,"T05,T11,T12",web.py;view.py;resources/static/*,真实页/蓝图/SVG/PPT、反馈、正文更新、取消、冲突；无Host时明确等待；loopback必要安全；自然语言入口无需手动view；同项目URL复用、无浏览器/服务失败真实返回；显示编辑能力范围,"AC-U01,AC-U02,AC-U03,AC-U04,AC-U05,AC-U06,AC-U07",UI实际数据缺失先修service，不能用演示假卡片,proposed_not_started,"T05,T11,T12",按整项任务依赖执行
T15,WP03,导出与状态汇报收口,"T11,T12,T14",export.py;view.py;cli.py,review/delivery分开；实际当前文件/检查一致；失败稿能查看；Host完成表述遵从真实状态；PPT交付注明editable_shapes_and_text，不能暗示原生图表编辑数据,"AC-R09,AC-V06,AC-K16",不得通过裸completed或旧approval强行放行,proposed_not_started,"T11,T12,T14",按整项任务依赖执行
T16,WP04,安装器与诊断提取,"T05,T10",install.py;doctor.py;tools/build_release.py,隔离release/固定解释器/原子激活回滚；资源完整、按步骤报告依赖；旧Skillownership清理,"AC-I01,AC-I02,AC-I03,AC-I07",安装失败不改current；不借源码目录补文件,proposed_not_started,"T05,T10",按整项任务依赖执行
T17,WP04,唯一默认入口与文档,"T15,T16",cli.py;root-and-config.csv;单Skill与methods,新旧命令明确映射/退役，manifest/README/installer/UI共同解除PPTMaster与Library前置,"AC-I04,AC-C06",不能保留永久v2开关把旧默认留在原处,proposed_not_started,"T15,T16",按整项任务依赖执行
T18,WP04,旧run只读导入,"T03,T12",legacy.py;tests/rebuild/test_legacy.py,已知v1/HD只读规范化，源不写，旧媒体可看，未知状态不继承pass；缺原文original_sha256可空；保留extract/媒体实hash；字体/Logo入design_context，原件不动,"AC-L01,AC-L02,AC-L03,AC-L04",不能就地迁移/执行旧脚本；有歧义返回具体字段规范化,proposed_not_started,"T03,T12",按整项任务依赖执行
T19,WP04,发布资源与许可证清理,"T01,T16",LICENSE;NOTICE;THIRD_PARTY_NOTICES.md;.gitignore;build hook,跨分支归属、依赖/资源清单、排除客户材料/秘密/字体误打包,AC-I08,许可或材料授权不明先不随包，不伪称开源可用,proposed_not_started,"T01,T16",按整项任务依赖执行
T20,WP04,候选隔离安装端到端,"T14,T15,T16,T17,T18,T19,T13",CI/install smoke及实际候选环境,无库/外部后端/源码访问的安装，从材料任务到真产物UI改稿；记精确模块来源；从自然语言主Skill观察自动工作台；指定字体/Logo/非16:9/移动项目；调用限额与未知结算进入验收,"AC-I05,AC-I06",不能用fixture/旧安装/源码运行顶替；修具体依赖/资源,proposed_not_started,"T14,T15,T16,T17,T18,T19,T13",按整项任务依赖执行
T21,WP05,冻结D1/D2对照,"T10,T15,T20",验证记录与内容样本,冻结同模型输入设置；A/B/C保留第一完整稿，开发增量与精修范例分开,"AC-V01,AC-C09,AC-C10",正文需重建则回T04，之后重新冻结；不挑最佳,proposed_not_started,"T10,T15,T20",按整项任务依赖执行
T22,WP05,H1/H2迁移验证,T21,验证记录与未见材料,冻结后A/C，归因不明补B；用后修改即变回归，必要时新材料或收窄承诺,AC-V03,不称三样例成功=稳定泛化；失败如实记录,proposed_not_started,T21,按整项任务依赖执行
T23,WP05,专业阅稿与实际编辑,"T20,T21",当前成品与人类/桌面观察,合格人类检查主线/机制/可用；目标桌面软件编辑文字与关系保存重开；目标应用修改表格/图表形状文字，保存重开；明确未承诺Office编辑数据,"AC-V04,AC-K12",无人审则工程试行；headless不顶替桌面，不暂停全部改进,proposed_not_started,"T20,T21",按整项任务依赖执行
T24,WP05,旧源/测试/合同退役,"T17,T18,T20",inventory全部处置；docs/archive,逐文件删除前完成行为移植/引用归零；历史文档更正；可靠性测试不skip；负责AC-L05最终引用归零，与T01清单建档分离,"AC-L05,AC-L06",未知消费者先核实/移植；不删用户目录、外部Skill或原证据,proposed_not_started,"T17,T18,T20",按整项任务依赖执行
T25,WP05,最终默认切换与交付说明,"T22,T23,T24",最终候选安装及实际运行记录,在明确发布/安装授权后切换唯一入口；正常出稿改稿导出复跑；列未验证边界,"AC-V05,AC-V06",失败保留旧安装/用户数据，撤回候选激活；不回填历史通过,proposed_not_started,"T22,T23,T24",按整项任务依赖执行
