path,action,target,when,behavior
docs/contracts/artifact-manifest.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/artifact-manifest.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/artifact-validation.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/artifact-validation.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/benchmark-aggregate-report.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/benchmark-aggregate-report.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/blueprint-content-review.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/blueprint-content-review.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/blueprint-manifest.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/blueprint-manifest.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/blueprint-manifest.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/blueprint-manifest.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/blueprint-prompt.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/blueprint-prompt.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/build-manifest-legacy.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/build-manifest-legacy.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/build-manifest.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/build-manifest.v1.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/build-manifest.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/build-manifest.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/companion-manifest.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/companion-manifest.v2.schema.json,WP05，legacy读入测试与文档链接更新后,不进入新运行时；仅历史档案，可读取说明，不重建旧流程
docs/contracts/content-lock.v1.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/content-lock.v1.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
docs/contracts/content-lock.v2.schema.json,ARCHIVE,docs/archive/pre-rebuild/contracts/content-lock.v2.schema.json,WP05，legacy读入测试与文档链接更新后,提取有效事实进入新Artifact/Review；不复制旧通过结论或签章
