path,action,detail,work_package,status,path_basis
pyproject.toml,ADJUST,src发现；console deck_master.cli:main；限定安装resources；不包scripts旧包；版本为候选而非虚称2.0正式,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
requirements.txt,ADJUST,与pyproject同源锁依赖范围；资料提取按来源格式声明实际依赖,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
product-capability-manifest.json,REPLACE,只描述当前单入口、本地工具和Host要求；删除ppt-master backend依赖及生产专业ready,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/manifest.json,REPLACE,仅deck-master公开入口，内部reference非公开专家Skill；无stage registry加载,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/stage-contracts.json,ARCHIVE_DELETE,固定旧阶段不随包安装；移历史档案，无新运行消费者后删原路径,WP05,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/RESOLVER.md,REPLACE,创建/继续/修改/查看/检查/导出，不是九阶段路由,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/deck-master/SKILL.md,REWRITE,宿主原文理解与完整成稿为默认；不得autoplan脚手架输出后当专业规划,WP01/WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/deck-master/references/content-methods.md,REWRITE,少量方法+完整成对好坏例+选择理由；不复制行业目录,WP01,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/deck-master/references/agent-instructions.md,REWRITE,本包任务输入/accept/continue/返修协议，无阶段审批,WP01/WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/deck-master/references/installation.md,REWRITE,候选安装验证、版本路径、必要渲染工具和回滚；无PPTMaster授权步骤,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
skills/deck-master/agents/openai.yaml,ADJUST,保留Host元信息，路由到单一skill；不承诺未验证模型,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
README.md,REWRITE,正常安装→材料→首稿→工作台→改稿；注明宿主执行、未验证边界,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
AGENTS.md,REWRITE,当前权威Spec/代码边界/测试路径；旧Spec仅历史,WP01/WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
CLAUDE.md,REWRITE,与AGENTS一致的可用命令，不带回旧OS,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
DESIGN.md,REWRITE,新依赖方向、唯一当前事实、SVG源/IR派生、UI数据链,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
ROADMAP.md,ADJUST,本轮五包和事实完成状态；旧P2-P5不是待完成义务,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
CHANGELOG.md,ADJUST,明确破坏性入口变更、迁移方式与旧承诺更正，保留历史,WP05,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
CONTRIBUTING.md,ADJUST,新测试/格式/安装复核与PR范围；不能只测fixture,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
SECURITY.md,ADJUST,本地文件/loopback服务/隐私边界；不声称签章证明业务正确,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
Makefile,ADJUST,lint/test/real-render/install-smoke调用新包；无绑后端命令,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
Dockerfile,ADJUST,安装实际src包、字体/渲染器声明；不COPY整repo冒充发行包,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/workflows/ci.yml,REWRITE,纯单元/真实渲染/隔离安装三类；禁止跳过失败并报全绿,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/CODEOWNERS,ADJUST,新src/resources/tests/rebuild路径责任,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.github/PULL_REQUEST_TEMPLATE.md,ADJUST,任务ID、实际改动、源SHA、执行命令结果、待验证边界,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
.devcontainer/devcontainer.json,ADJUST,新src与必要工具；不安装整套15技能平台,WP04,拟调整；实际修改需要 Codex 核验,B0目录/用户审计确认；具体修改需要Codex核验
