id,source_ref,path,action,target,work_package,stop_new_use,delete_when,change_detail,acceptance,verification
OLD-001,2a866cf138f6359f853db35e0a926ad79391b691,scripts/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-005,2a866cf138f6359f853db35e0a926ad79391b691,scripts/adapters/deck_pro_max_to_plan.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-006,2a866cf138f6359f853db35e0a926ad79391b691,scripts/adapters/ppt_library_to_plan.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-007,2a866cf138f6359f853db35e0a926ad79391b691,scripts/advisory/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-008,2a866cf138f6359f853db35e0a926ad79391b691,scripts/advisory/narrative.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-009,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/__init__.py,DELETE_AFTER_CUTOVER,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,旧包退出；新包不import旧命名空间；无对应业务行为需要迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-010,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/archetype_tagger.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-011,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/canonical_id.py,EXTRACT_THEN_DELETE,src/deck_master/sources.py,WP01,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,可复用稳定来源/资产标识思想；禁止带回资产治理平台,AC-C06,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-012,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/feedback.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
OLD-013,2a866cf138f6359f853db35e0a926ad79391b691,scripts/assets/health.py,RETIRE_THEN_DELETE,—,WP05,WP04默认入口切换（先在新包内禁入）,WP05：替代行为/安装/legacy导入通过，静态与运行引用均为零；保留Git历史,默认主线与发行包不继承；必要历史行为在固定旧Git引用中保留，相关有效测试先按矩阵迁移,AC-L05,T24 已退役:2026-09-22 引用扫描 living 面零残留(inventory/reference-scan.md);行为替代见 tests/rebuild;Git 历史保留
