id,target,action,purpose,implementation,work_package,test,status
NEW-001,src/deck_master/__init__.py,NEW,版本/发行资源入口,只公开版本与包资源位置；不得导入旧engine,WP01,tests/rebuild/test_package_boundary.py,拟新建，尚未实现；需要 Codex 核验
NEW-002,src/deck_master/__main__.py,NEW,模块执行入口,调用cli.main；不含业务流程,WP01,tests/rebuild/test_cli.py,拟新建，尚未实现；需要 Codex 核验
NEW-003,src/deck_master/models.py,NEW,五类对象和Ref,validate_document/page/artifact/task/review；只格式/身份不专业评分；v1.1：Document.design_context、未知原hash、asset与Task.call_allowances格式/跨引用,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-004,src/deck_master/store.py,EXTRACT_REWRITE,文件资源与原子版本,put_blob/read_current/commit_change/restore；不可变对象、读集冲突、取消同锁,WP01,tests/rebuild/test_store_transactions.py,拟新建，尚未实现；需要 Codex 核验
NEW-005,src/deck_master/sources.py,EXTRACT_REWRITE,材料读取与定位,register_sources/read_source/locate；全文可达、页/段定位、敏感外发边界；v1.1：缺原文保留未知，extract/asset独立真实hash，项目相对资产,WP01,tests/rebuild/test_sources.py,拟新建，尚未实现；需要 Codex 核验
NEW-006,src/deck_master/content.py,EXTRACT_REWRITE,正文与设计,normalize_draft/visible_atoms/content_diff；保留必要叶子；不规则配论点；v1.1：稳定atom/旧Pointer规范化；共享设计解析与Page明确覆盖,WP01,tests/rebuild/test_content.py,拟新建，尚未实现；需要 Codex 核验
NEW-007,src/deck_master/tasks.py,NEW,宿主任务交接,issue/claim/accept/cancel/retry；按输入依赖稳定身份，支持幂等晚到拒绝；v1.1：项目额度分配/begin/settle与结果信封，未知/取消/恢复不清零,WP01,tests/rebuild/test_tasks.py,拟新建，尚未实现；需要 Codex 核验
NEW-008,src/deck_master/service.py,NEW,应用用例,create/continue/edit/check/export；所有CLI/UI共用，不注册阶段平台；v1.1：设计与资产接收、首次正文触发工作台动作、共享有效配置,WP01,tests/rebuild/test_service_flow.py,拟新建，尚未实现；需要 Codex 核验
NEW-009,src/deck_master/cli.py,REPLACE,唯一命令入口,薄参数解析+service调用+标准JSON；兼容命令不能偷走旧链,WP01,tests/rebuild/test_cli.py,拟新建，尚未实现；需要 Codex 核验
NEW-010,src/deck_master/production.py,EXTRACT_REWRITE,页面视觉制作,project_prompt/adopt_blueprint/accept_svg/build；正文往返、原图独立、分步失败；v1.1：Document唯一画布/字体/style_ref与允许资产输入，无原生数据图表声明,WP02,tests/rebuild/test_production.py,拟新建，尚未实现；需要 Codex 核验
NEW-011,src/deck_master/review.py,EXTRACT_REWRITE,真实检查与审稿,measure/evaluate/accept_review/freshness；唯一定义检查结论；v1.1：fixed经新产物真实复查及replaces链，负例明确,WP03,tests/rebuild/test_review.py,拟新建，尚未实现；需要 Codex 核验
NEW-012,src/deck_master/view.py,NEW,当前状态投影,project_view/page_view；只派生，不持久化另一ready,WP01,tests/rebuild/test_view.py,拟新建，尚未实现；需要 Codex 核验
NEW-013,src/deck_master/web.py,REPLACE,本地工作台服务,serve/open；GET实际产物、POST修改请求；复用service，不含模型服务；v1.1：自动首次启动、服务复用、无浏览器/不可达原因,WP03,tests/rebuild/test_web.py,拟新建，尚未实现；需要 Codex 核验
NEW-014,src/deck_master/export.py,EXTRACT_REWRITE,本地导出,export_review/export_delivery；不发邮件，未通过稿可明确标识查看；v1.1：明确形状文字编辑范围和未验证状态,WP03,tests/rebuild/test_export.py,拟新建，尚未实现；需要 Codex 核验
NEW-015,src/deck_master/legacy.py,EXTRACT_REWRITE,旧格式读取/导入,inspect/import_copy；不执行旧脚本、不继承旧pass，原run零写入；v1.1：缺源hash空，旧设计/素材规范化不追认原身份,WP04,tests/rebuild/test_legacy.py,拟新建，尚未实现；需要 Codex 核验
NEW-016,src/deck_master/doctor.py,EXTRACT_REWRITE,实际运行诊断,inspect_install/check_step；报告版本/模块/字体/渲染器，不判业务专业,WP04,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-017,src/deck_master/install.py,EXTRACT_REWRITE,最小安装和回滚,build_release/install/rollback；固定解释器、资源齐备、旧Skill受控移除,WP04,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-018,src/deck_master/compiler/__init__.py,NEW,纯转换包,不导入service/review/store/Host模型,WP02,tests/rebuild/test_package_boundary.py,拟新建，尚未实现；需要 Codex 核验
NEW-019,src/deck_master/compiler/api.py,EXTRACT_REWRITE,独立编译接口,"compile_deck(SvgInput[],CompileOptions,output_dir)->CompileResult",WP02,tests/rebuild/test_compiler_api.py,拟新建，尚未实现；需要 Codex 核验
NEW-020,src/deck_master/compiler/ir.py,EXTRACT_REWRITE,派生图形表示,内部SVG标准化节点/样式/几何；Host不手写,WP02,tests/rebuild/test_svg_parser.py,拟新建，尚未实现；需要 Codex 核验
NEW-021,src/deck_master/compiler/svg.py,EXTRACT_REWRITE,SVG受支持子集,parse_svg/validate_subset；本地解析，禁外链与脚本，明确不支持,WP02,tests/rebuild/test_svg_parser.py,拟新建，尚未实现；需要 Codex 核验
NEW-022,src/deck_master/compiler/geometry.py,EXTRACT_REWRITE,变换/端点/曲线,affine/bounds/path/connector；修旋转圆/负斜率/圆角/描边,WP02,tests/rebuild/test_geometry.py,拟新建，尚未实现；需要 Codex 核验
NEW-023,src/deck_master/compiler/paint.py,EXTRACT_REWRITE,画笔/透明度,fill/stroke/gradient；0与缺值区分,WP02,tests/rebuild/test_paint.py,拟新建，尚未实现；需要 Codex 核验
NEW-024,src/deck_master/compiler/text.py,EXTRACT_REWRITE,可编辑文字,字体/字重/基线/换行/行距；不可隐形或缩字过检,WP02,tests/rebuild/test_text.py,拟新建，尚未实现；需要 Codex 核验
NEW-025,src/deck_master/compiler/drawingml.py,EXTRACT_REWRITE,PPT对象写入,native text/shape/path/connector/image；不改正文与业务边,WP02,tests/rebuild/test_drawingml.py,拟新建，尚未实现；需要 Codex 核验
NEW-026,src/deck_master/compiler/render.py,EXTRACT_REWRITE,实际渲染,SVG和PPT独立渲染，隔离输出；返回工具版本和实际页图,WP02,tests/rebuild/test_render.py,拟新建，尚未实现；需要 Codex 核验
NEW-027,src/deck_master/compiler/readback.py,EXTRACT_REWRITE,实际PPT读取,XML/文本/端点/画笔/字体检查；不得以生成trace作唯一预期,WP02,tests/rebuild/test_readback.py,拟新建，尚未实现；需要 Codex 核验
NEW-028,src/deck_master/resources/static/index.html,EXTRACT_REWRITE,工作台HTML,三栏实际页面；去掉商机/团队/Skill阶段面板,WP03,tests/rebuild/test_workbench_e2e.py,拟新建，尚未实现；需要 Codex 核验
NEW-029,src/deck_master/resources/static/app.js,EXTRACT_REWRITE,工作台交互,版本化API与四视图比较、反馈、改稿、取消和冲突,WP03,tests/rebuild/test_workbench_e2e.py,拟新建，尚未实现；需要 Codex 核验
NEW-030,src/deck_master/resources/static/style.css,EXTRACT_REWRITE,工作台样式,复用可用样式，保证1280/1440宽度和文字可读,WP03,tests/rebuild/test_workbench_e2e.py,拟新建，尚未实现；需要 Codex 核验
NEW-031,src/deck_master/resources/contracts/document.v1.schema.json,NEW,规范契约,从本包contracts落地为唯一安装资源，不复制58份旧合同,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-032,src/deck_master/resources/contracts/page.v2.schema.json,NEW,规范契约,从本包contracts落地为唯一安装资源，不复制58份旧合同,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-033,src/deck_master/resources/contracts/artifact.v1.schema.json,NEW,规范契约,从本包contracts落地为唯一安装资源，不复制58份旧合同,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-034,src/deck_master/resources/contracts/task.v1.schema.json,NEW,规范契约,从本包contracts落地为唯一安装资源，不复制58份旧合同,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-035,src/deck_master/resources/contracts/review.v1.schema.json,NEW,规范契约,从本包contracts落地为唯一安装资源，不复制58份旧合同,WP01,tests/rebuild/test_contracts.py,拟新建，尚未实现；需要 Codex 核验
NEW-036,setup.py,NEW,正常PEP517构建注册,仅注册本地build_py hook；不在安装时访问用户run/网络,WP01,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-037,MANIFEST.in,NEW,sdist内容,纳入src、Skill、hook与许可证；排除运行资料/字体,WP01,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-038,tools/build_hook.py,NEW,资源唯一来源,把skills/deck-master复制到build_lib资源；源仓不维护第二份,WP01,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-039,tools/build_release.py,NEW,发行打包,调用相同构建hook并核实wheel实际内容，生成最小release记录,WP04,tests/rebuild/test_install.py,拟新建，尚未实现；需要 Codex 核验
NEW-040,skills/deck-master/references/source-reading.md,NEW,Host材料方法,提取文字/图表、尾部约束与引用；摘要只导航,WP01,tests/rebuild/test_content.py,拟新建，尚未实现；需要 Codex 核验
NEW-041,skills/deck-master/references/blueprint-svg.md,NEW,Host视觉方法,真实原图/正文往返/忠实SVG；不写第二Scene,WP02,tests/rebuild/test_production.py,拟新建，尚未实现；需要 Codex 核验
NEW-042,skills/deck-master/references/review-and-repair.md,NEW,Host编辑方法,看实际成品，分内容/制作/转换，修到新产物,WP03,tests/rebuild/test_review.py,拟新建，尚未实现；需要 Codex 核验
NEW-043,skills/deck-master/references/content-examples.md,NEW,成对完整示例,从本包examples/content-pair.md提炼；不是固定模板目录,WP01,tests/rebuild/test_content.py,拟新建，尚未实现；需要 Codex 核验
NEW-044,tests/rebuild/test_cli.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-045,tests/rebuild/test_compiler_api.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-046,tests/rebuild/test_content.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-047,tests/rebuild/test_contracts.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-048,tests/rebuild/test_drawingml.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-049,tests/rebuild/test_export.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-050,tests/rebuild/test_geometry.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-051,tests/rebuild/test_install.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-052,tests/rebuild/test_legacy.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-053,tests/rebuild/test_package_boundary.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-054,tests/rebuild/test_paint.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-055,tests/rebuild/test_production.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-056,tests/rebuild/test_readback.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-057,tests/rebuild/test_render.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-058,tests/rebuild/test_review.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-059,tests/rebuild/test_service_flow.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-060,tests/rebuild/test_sources.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-061,tests/rebuild/test_store_transactions.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-062,tests/rebuild/test_svg_parser.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
NEW-063,tests/rebuild/test_tasks.py,NEW,新默认行为回归,按AC逐行为实施，移植旧有效断言；当前仅拟建路径，不是已通过测试,跨WP,—,拟新建，尚未实现；需要 Codex 核验
