acceptance_id,name,expected_behavior,test,task_id,evidence_kind,status
AC-C01,原文末尾约束,关键只读/不可回写放材料末尾；输出正文与设计关系随约束改变，不只写已读,tests/rebuild/test_sources.py,T03,拟自动化测试；尚未实现执行,planned_not_executed
AC-C02,场景结构与短稿,同源D1/D2结构/深度/结尾不同；合理短稿不加固定痛点风险CTA,tests/rebuild/test_content.py,T04,拟自动化测试；尚未实现执行,planned_not_executed
AC-C03,全可见正文,嵌套职责、标签、副标题、脚注、表格值全部保留；metadata不变正文；稳定atom不依数组顺序/文字hash，重排改字ID不变，复制新条目新ID，旧Pointer导入规范化,tests/rebuild/test_content.py,T03,拟自动化测试；尚未实现执行,planned_not_executed
AC-C04,不再循环配论点,预置正确接口论点不能被数组取模配成公司成立年份；默认入口不调用旧enrich,tests/rebuild/test_service_flow.py,T04,拟自动化测试；尚未实现执行,planned_not_executed
AC-C05,事实/计算/建议区别,54÷120可复算；无依据40%提升不当事实；只读条件影响自动化推荐,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-C06,不依赖库和工作区,普通材料目录、无历史库缓存/模板可从create正常进入Host任务,tests/rebuild/test_service_flow.py,T04,拟自动化测试；尚未实现执行,planned_not_executed
AC-C07,不重复问答,无额外约束/不适用有效；只问足以改变本次决定且来源无法回答的缺口,tests/rebuild/test_content.py,T04,拟自动化测试；尚未实现执行,planned_not_executed
AC-C08,来源形态,TXT/MD/JSON/PDF/DOCX/PPTX读到相关正文和表格；图页派发阅图；缺工具不空成功,tests/rebuild/test_sources.py,T03,拟自动化测试；尚未实现执行,planned_not_executed
AC-C09,正文完整而非占位,内容有业务机制/方案理由/适当深度；制作意图不替代正文,human_content_review,T21,实际人类/Host运行记录,planned_not_executed
AC-C10,复合Deck,案例/架构/实施围绕同一任务，不重复拼接、无关章节不凑满,human_content_review,T21,实际人类/Host运行记录,planned_not_executed
AC-C11,未知输入形态,不能静默丢旧body字段；定位待规范化内容，未经检查不强设ready,tests/rebuild/test_content.py,T03,拟自动化测试；尚未实现执行,planned_not_executed
AC-B01,真实prompt全字段,marker确认subtitle/footnotes/labels/visual_spec等进入实际prompt而非仅中间JSON；同Document有效design_context/style_ref/允许资产投影，不独立补默认,tests/rebuild/test_production.py,T06,拟自动化测试；尚未实现执行,planned_not_executed
AC-B02,来源诚实,actual prompt只从真实提交记录取得；未知调用标unknown；文件名/签名不升级真实性,tests/rebuild/test_production.py,T06,拟自动化测试；尚未实现执行,planned_not_executed
AC-B03,文案往返,采纳蓝图新文案产生新Page；原图generated_from与prompt保持原版，小改文字不强制重生,tests/rebuild/test_production.py,T07,拟自动化测试；尚未实现执行,planned_not_executed
AC-B04,图像实际参与,同业务两张显著不同布局源图，SVG几何相应变化，不能只换hash,host_image_review,T10,实际人类/Host运行记录,planned_not_executed
AC-B05,基准方向,当前SVG/PPT预览及已知派生图不能成为自己原始参考；重编码不改变角色,tests/rebuild/test_production.py,T07,拟自动化测试；尚未实现执行,planned_not_executed
AC-B06,单手写源,只提交SVG可生成IR；Host无需手写Scene；必要绑定能解析,tests/rebuild/test_svg_parser.py,T08,拟自动化测试；尚未实现执行,planned_not_executed
AC-B07,源图预期独立,删除SVG图标登记不缩小源图预期；未识别原图不记满覆盖,tests/rebuild/test_review.py,T11,拟自动化测试；尚未实现执行,planned_not_executed
AC-B08,结构不重复印字,edge.target不自动变正文；必要标签保留，关系实际连节点,tests/rebuild/test_content.py,T07,拟自动化测试；尚未实现执行,planned_not_executed
AC-B09,无假生图降级,缺Host工具返回待工具，不走fixture/无字通用图/自动直绘替代任务,tests/rebuild/test_service_flow.py,T06,拟自动化测试；尚未实现执行,planned_not_executed
AC-B10,原件与重设计,明确新设计能建立新参考版本；旧还原失败仍保留，不回填通过,tests/rebuild/test_production.py,T07,拟自动化测试；尚未实现执行,planned_not_executed
AC-K01,独立转换,只给SVG/资产/参数，隔离安装可产PPT，不读旧OS/审批/HOME仓库,tests/rebuild/test_compiler_api.py,T08,拟自动化测试；尚未实现执行,planned_not_executed
AC-K02,负斜率与端点,正负斜率及反向line的实际PPT端点方向正确，不只bbox相同,tests/rebuild/test_geometry.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K03,旋转圆边界,r10圆旋转45度仍20×20；椭圆变换使用正确极值,tests/rebuild/test_geometry.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K04,字体权重,800/900不反为normal；记录实际字体匹配/替代，XML与渲染核对,tests/rebuild/test_text.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K05,零透明度,fill/stroke/gradient stop/group opacity=0保留；None才默认,tests/rebuild/test_paint.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K06,多行中文,tspan位置/基线/行距/字重/换行保留；无精确字符串掩盖排版损失,tests/rebuild/test_text.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K07,圆角和描边,缩放圆角矩形、图标描边既有修复不回退；非等比范围明确,tests/rebuild/test_geometry.py,T09,拟自动化测试；尚未实现执行,planned_not_executed
AC-K08,实际几何读取,从输入SVG+独立Page关系检查实际PPT/XML，不只trace对trace,tests/rebuild/test_readback.py,T10,拟自动化测试；尚未实现执行,planned_not_executed
AC-K09,不支持与安全,脚本/外部可执行引用拒绝；不支持特性定位对象，不静默删图,tests/rebuild/test_svg_parser.py,T08,拟自动化测试；尚未实现执行,planned_not_executed
AC-K10,可读性,1pt/透明补全文层不能过内容覆盖；真实文本溢出有定位,tests/rebuild/test_readback.py,T10,拟自动化测试；尚未实现执行,planned_not_executed
AC-K11,实际渲染,SVG/PPT分别实际渲染，缺renderer标未验证，旧预览不能充新图,tests/rebuild/test_render.py,T10,拟自动化测试；尚未实现执行,planned_not_executed
AC-K12,桌面编辑,实际目标软件修改当前文字与关键图形/连接，保存重开；headless不代替；仅证明形状/文字编辑，不外推Office原生图表编辑数据或原生Table能力,human_desktop_edit,T23,实际人类/Host运行记录,planned_not_executed
AC-K13,支持范围,线/路径/图标/表格/图片/渐变和画布按子集正确；其余明确限制,tests/rebuild/test_drawingml.py,T10,拟自动化测试；尚未实现执行,planned_not_executed
AC-S01,事务不半写,对象/Document/指针各断点故障，当前仍完整旧版或完整新版,tests/rebuild/test_store_transactions.py,T02,拟自动化测试；尚未实现执行,planned_not_executed
AC-S02,文件安全,路径逃逸/符号链接危险写入/坏对象不能覆盖源和历史,tests/rebuild/test_store_transactions.py,T02,拟自动化测试；尚未实现执行,planned_not_executed
AC-S03,Task幂等,同operation相同输出重复返回同结果；不同输出拒绝,tests/rebuild/test_tasks.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S04,依赖分层,预算/备注不让未变SVG失效；实际字体/源事实/全局style改变影响正确范围,tests/rebuild/test_store_transactions.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S05,局部编辑,p09修改后无关页原图/SVG hash不变；整PPT允许重装配,tests/rebuild/test_service_flow.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S06,多页事实,改变共用事实/关系，所有引用处更新，不只修改点选页,tests/rebuild/test_service_flow.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S07,页集合,增删重排稳定ID，删页历史保留不混回当前PPT,tests/rebuild/test_service_flow.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
AC-S08,并发与冲突,不同页读集安全重基；同页冲突不最后写覆盖,tests/rebuild/test_store_transactions.py,T12,拟自动化测试；尚未实现执行,planned_not_executed
