subtask_id,task_id,work_package,title,work,deliverable_and_check,status,execution_unit
T01.01,T01,WP01,核验开发与提取基线,记录当前分支/SHA/工作树、B0和K0可解析性、当前安装解释器与模块来源；对B0至当前的差异补充映射,基线记录能区分源码、远端、安装版本；不改已有历史,not_started,internal_step
T01.02,T01,WP01,展开完整文件处置表,运行只读清单工具；关联old-files/new-files/contracts/tests/skills/root配置；未知路径逐项注明用途与处置,全部跟踪路径有保留、提取、重写、归档或退役去向，用户资料单列不删除,not_started,internal_step
T01.03,T01,WP01,固定提取边界,标记新包禁用旧命名空间及compiler反向依赖；给每项提取标B0/K0文件与SHA,后续开发可直接找到实现来源和行为测试，不整包合并K0,not_started,internal_step
T01.04,T01,WP01,更正事故与旧完成描述,定位把对象存在、两reviewer名称或旧pass写成成功的活动文档；保留原证据，增加更正与新Spec入口,更正清单区分真实工程结果与尚未验证的还原能力；本卡不要求旧引用归零,not_started,internal_step
T01.05,T01,WP01,准备固定制作输入,按inputs.md建立三类公开或合成样本及本机映射；记录Page版本、原图、来源和独立视觉期待，原事故材料可用性单列,接收者能打开输入并核对hash；缺原事故时明确替代样本，不宣称事故复跑,not_started,internal_step
T02.01,T02,WP01,建立五对象和包骨架,落地Document/Page/Artifact/Task/Review及Ref校验、最小__init__/__main__与合成项目fixture；schema从包资源读取,五个合法示例可读，坏引用/重复页/跨项目引用给具体路径；不含第六永久对象,not_started,internal_step
T02.02,T02,WP01,实现不可变字节存储,统一JSON canonical编码与媒体字节hash；先staging再objects；文件Ref按项目相对位置解析,同字节复用；已有对象不能被不同字节覆盖；路径逃逸和跨根符号链接拒绝,not_started,internal_step
T02.03,T02,WP01,实现原子current提交,store.commit_change在项目flock内重读current、检查read_set/取消/operation，再写Document并原子换指针,对象半写、Document已写指针未切、指针已切响应丢失分别恢复完整旧版或新版,not_started,internal_step
T02.04,T02,WP01,落地制作配置与调用字段,校验design_context、nullable original_sha256、asset Ref及Task.call_allowances；默认值只在创建时持久化,空原hash可表示未知，媒体实hash仍必填；配置未知引用报错，无隐藏默认,not_started,internal_step
T02.05,T02,WP01,交付T02.min并补完整故障边界,先交五对象最小可用集/原子指针/基础幂等取消，后续扩展不另建min格式,T03/T04能接入；全卡关闭前完成AC-S01/S02并交故障注入结果,not_started,internal_step
T03.01,T03,WP01,接收TXT/JSON完整Page切片,实现sources读取和content整稿预校验；返回资料实际定位及全部Page，未知字段定位错误,T03.min可供compose或draft导入，失败不部分采用页,not_started,internal_step
T03.02,T03,WP01,实现可见正文原子,递归paragraph/bullets/table、标题副标题、labels/callouts/脚注；保留display_text、0、空值差异；不投影排版元数据,嵌套职责、表头单位和脚注逐项可定位，内部说明不会变正文,not_started,internal_step
T03.03,T03,WP01,规范稳定ID和正文关系,缺ID只分配一次；旧Pointer在导入时解析成atom；修改/重排保ID，复制新ID；拆合显式映射,atom-identity往返成立；同字条目不误合并，删除ID不复用,not_started,internal_step
T03.04,T03,WP01,统一设计与资料引用,规范style/font/asset、用户本地asset到真实Artifact；解析Page覆盖和许可子集；读取已存extract不依赖原hash可得,design_context可供Host/编译/UI共用，指定Logo/字体可追溯且不外发受限资产,not_started,internal_step
T03.05,T03,WP01,补齐MD/PDF/DOCX/PPTX读取,选择现有可用解析工具，保留表格及页段位置；纯图页交实际阅图；缺工具返回具体待处理格式,六种资料各有内容样例；尾部只读约束能进入实际输入，未读内容不写已读,not_started,internal_step
T04.01,T04,WP01,实现创建与连续推进,service/cli接create、--draft、import draft、continue；返回稳定待Host任务，复用已确认决定,普通材料目录无库无模板可开始，重复continue不造重复任务,not_started,internal_step
T04.02,T04,WP01,实现五种结果接收,按kind解析compose/blueprint/reconstruct/review/repair；核验scope、files及引用后一次采用；调用结算独立保留,五种result-envelope走真实accept往返；坏路径/旧输入/同operation异结果拒绝且current不变,not_started,internal_step
